CUSTOMER,OVERALLSATISFACTION,FOODQUALITY,SPEEDSATISFACTION,ORDERACCURACY
1,5.000,3.000,4.000,True
2,3.000,4.000,3.000,True
3,4.000,5.000,2.000,True
4,5.000,3.000,4.000,True
5,2.000,5.000,1.000,True
6,5.000,2.000,5.000,True
7,1.000,4.000,3.000,True
8,3.000,3.000,2.000,False
9,5.000,1.000,3.000,True
10,3.000,5.000,3.000,False
11,5.000,3.000,4.000,True
12,2.000,2.000,5.000,True
13,4.000,5.000,3.000,False
14,3.000,4.000,2.000,True
15,1.000,5.000,1.000,True
16,5.000,4.000,5.000,True
17,2.000,2.000,4.000,True
18,4.000,5.000,4.000,False
19,5.000,1.000,5.000,True
20,2.000,4.000,4.000,True
21,5.000,5.000,1.000,True
22,3.000,3.000,3.000,False
23,1.000,5.000,5.000,True
24,5.000,4.000,4.000,True
25,3.000,3.000,2.000,True
26,2.000,3.000,4.000,True
27,2.000,2.000,3.000,False
28,4.000,5.000,4.000,True
29,4.000,1.000,2.000,True
30,3.000,4.000,5.000,True
31,5.000,5.000,4.000,True
32,3.000,3.000,4.000,False
33,1.000,2.000,5.000,True
34,5.000,5.000,1.000,True
35,5.000,1.000,2.000,True
36,2.000,3.000,3.000,True
37,1.000,5.000,4.000,True
38,5.000,4.000,3.000,True
39,2.000,2.000,4.000,False
40,3.000,3.000,2.000,True
41,5.000,5.000,5.000,True
42,3.000,3.000,3.000,True
43,4.000,4.000,4.000,True
44,5.000,5.000,5.000,True
45,2.000,2.000,2.000,True
46,5.000,5.000,5.000,True
47,1.000,1.000,1.000,True
48,3.000,3.000,3.000,False
49,5.000,5.000,5.000,True
50,3.000,3.000,3.000,False
51,5.000,5.000,5.000,True
52,2.000,2.000,2.000,True
53,4.000,4.000,4.000,False
54,3.000,3.000,3.000,True
55,1.000,1.000,1.000,True
56,5.000,5.000,5.000,True
57,2.000,2.000,2.000,True
58,4.000,4.000,4.000,False
59,5.000,5.000,5.000,True
60,2.000,2.000,2.000,True
61,5.000,5.000,5.000,True
62,3.000,3.000,3.000,False
63,1.000,1.000,1.000,True
64,5.000,5.000,5.000,True
65,3.000,3.000,3.000,True
66,2.000,2.000,2.000,True
67,2.000,2.000,2.000,False
68,4.000,4.000,4.000,True
69,4.000,4.000,4.000,True
70,3.000,3.000,3.000,True
71,5.000,5.000,5.000,True
72,3.000,3.000,3.000,False
73,1.000,1.000,1.000,True
74,5.000,5.000,5.000,True
75,5.000,5.000,5.000,True
76,2.000,2.000,2.000,True
77,1.000,1.000,1.000,True
78,5.000,5.000,5.000,True
79,2.000,2.000,2.000,False
80,3.000,3.000,3.000,True
81,5.000,5.000,5.000,True
82,3.000,3.000,3.000,True
83,4.000,4.000,4.000,True
84,5.000,5.000,5.000,True
85,2.000,2.000,2.000,True
86,5.000,5.000,5.000,True
87,1.000,1.000,1.000,True
88,3.000,3.000,3.000,False
89,5.000,5.000,5.000,True
90,3.000,3.000,3.000,False
91,5.000,5.000,5.000,True
92,2.000,2.000,2.000,True
93,4.000,4.000,4.000,False
94,3.000,3.000,3.000,True
95,1.000,1.000,1.000,True
96,5.000,5.000,5.000,True
97,2.000,2.000,2.000,True
98,4.000,4.000,4.000,False
99,5.000,5.000,5.000,True
100,2.000,2.000,2.000,True
101,5.000,5.000,5.000,True
102,3.000,3.000,3.000,False
103,1.000,1.000,1.000,True
104,5.000,5.000,5.000,True
105,3.000,3.000,3.000,True
106,2.000,2.000,2.000,True
107,2.000,2.000,2.000,False
108,4.000,4.000,4.000,True
109,4.000,4.000,4.000,True
110,3.000,3.000,3.000,True
111,5.000,5.000,5.000,True
112,3.000,3.000,3.000,False
113,1.000,1.000,1.000,True
114,5.000,5.000,5.000,True
115,5.000,5.000,5.000,True
116,2.000,2.000,2.000,True
117,1.000,1.000,1.000,True
118,5.000,5.000,5.000,True
119,2.000,2.000,2.000,False
120,3.000,3.000,3.000,True
121,5.000,5.000,5.000,True
122,3.000,3.000,3.000,True
123,4.000,4.000,4.000,True
